epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3260.04,1.34673,1.09586,1.49791,0.53052,0.58691,0.55115,0.35554,1.2065,1.42569,1.46837,0.004258,0.004258,0.004258
60,3305.78,1.32894,1.08743,1.48806,0.52992,0.57443,0.56261,0.35845,1.20439,1.41033,1.45987,0.004159,0.004159,0.004159
61,3351.52,1.3286,1.0806,1.48801,0.54507,0.54759,0.57242,0.36628,1.19727,1.39571,1.459,0.00406,0.00406,0.00406
62,3398.45,1.3333,1.08088,1.48804,0.54973,0.58385,0.57068,0.37221,1.18914,1.40896,1.44813,0.003961,0.003961,0.003961
63,3444.11,1.32416,1.06841,1.47932,0.53449,0.5904,0.54996,0.35389,1.18972,1.428,1.44968,0.003862,0.003862,0.003862
64,3489.76,1.32058,1.07418,1.47307,0.50591,0.60155,0.56203,0.36154,1.1857,1.40837,1.44844,0.003763,0.003763,0.003763
65,3535.25,1.31372,1.06065,1.47779,0.52719,0.62538,0.56727,0.36446,1.17954,1.41306,1.44146,0.003664,0.003664,0.003664
66,3580.81,1.31466,1.0613,1.47008,0.52227,0.60119,0.57226,0.36853,1.1737,1.39339,1.4363,0.003565,0.003565,0.003565
67,3626.46,1.30063,1.04436,1.46867,0.53882,0.62462,0.58883,0.37916,1.18137,1.37382,1.44419,0.003466,0.003466,0.003466
68,3672.14,1.30256,1.04355,1.46169,0.54196,0.58792,0.57879,0.37291,1.17854,1.37745,1.44134,0.003367,0.003367,0.003367
69,3717.78,1.30266,1.0411,1.45878,0.55485,0.58374,0.58589,0.37448,1.16861,1.34488,1.43343,0.003268,0.003268,0.003268
70,3763.49,1.28122,1.01705,1.45186,0.56468,0.57358,0.57704,0.37344,1.16825,1.36937,1.43036,0.003169,0.003169,0.003169
71,3809.1,1.2811,1.01861,1.44552,0.57595,0.57162,0.59113,0.3806,1.16419,1.34871,1.42981,0.00307,0.00307,0.00307
72,3854.81,1.27702,1.01568,1.44611,0.55498,0.58228,0.58779,0.38293,1.15507,1.36147,1.42506,0.002971,0.002971,0.002971
73,3900.39,1.28074,1.01414,1.45076,0.54035,0.60836,0.57486,0.37485,1.1591,1.37806,1.42464,0.002872,0.002872,0.002872
74,3945.88,1.26774,0.99954,1.43694,0.54166,0.60611,0.58224,0.38095,1.15501,1.36763,1.42307,0.002773,0.002773,0.002773
75,3993.31,1.26316,0.99054,1.43206,0.57035,0.58669,0.56581,0.37085,1.15706,1.38708,1.4203,0.002674,0.002674,0.002674
76,4049.07,1.2682,0.99134,1.43442,0.58095,0.59209,0.58601,0.38343,1.15612,1.35468,1.41873,0.002575,0.002575,0.002575
77,4104.75,1.25607,0.98406,1.42638,0.54619,0.60296,0.5934,0.38802,1.15276,1.34823,1.41389,0.002476,0.002476,0.002476
78,4160.33,1.25345,0.98551,1.42556,0.57226,0.60501,0.58902,0.39105,1.14238,1.35908,1.40902,0.002377,0.002377,0.002377
79,4215.86,1.25272,0.97729,1.42727,0.56474,0.61107,0.58245,0.38351,1.13896,1.34459,1.40503,0.002278,0.002278,0.002278
80,4271.4,1.25264,0.97101,1.42183,0.55958,0.6137,0.58044,0.38456,1.14409,1.34839,1.41157,0.002179,0.002179,0.002179
81,4324.02,1.24878,0.97233,1.41478,0.57201,0.59809,0.58663,0.38778,1.13733,1.3379,1.40451,0.00208,0.00208,0.00208
82,4369.72,1.24235,0.96836,1.40998,0.58018,0.59932,0.5872,0.38739,1.13435,1.33668,1.40162,0.001981,0.001981,0.001981
